learning_rate,batch_size,neurons_H1,neurons_h2,activation_H1,activation_H2,accuracy
0.1,20,4,4,tanh,tanh,0.68075
0.1,20,4,4,tanh,relu,0.68275
0.1,20,4,8,tanh,tanh,0.772
0.1,20,4,8,tanh,relu,0.71475
0.1,20,4,16,tanh,tanh,0.85975
0.1,20,4,16,tanh,relu,0.80675
0.1,20,8,4,tanh,tanh,0.75275
0.1,20,8,4,tanh,relu,0.7605
0.1,20,8,8,tanh,tanh,0.84275
0.1,20,8,8,tanh,relu,0.87425
0.1,20,8,16,tanh,tanh,0.89475
0.1,20,8,16,tanh,relu,0.8645
0.1,20,16,4,tanh,tanh,0.88125
0.1,20,16,4,tanh,relu,0.801
0.1,20,16,8,tanh,tanh,0.92775
0.1,20,16,8,tanh,relu,0.80375
0.1,20,16,16,tanh,tanh,0.938
0.1,20,16,16,tanh,relu,0.9605
0.1,200,4,4,tanh,tanh,0.6705
0.1,200,4,4,tanh,relu,0.67225
0.1,200,4,8,tanh,tanh,0.75625
0.1,200,4,8,tanh,relu,0.737
0.1,200,4,16,tanh,tanh,0.753
0.1,200,4,16,tanh,relu,0.80825
0.1,200,8,4,tanh,tanh,0.72275
0.1,200,8,4,tanh,relu,0.7145
0.1,200,8,8,tanh,tanh,0.84875
0.1,200,8,8,tanh,relu,0.77725
0.1,200,8,16,tanh,tanh,0.90325
0.1,200,8,16,tanh,relu,0.90275
0.1,200,16,4,tanh,tanh,0.79225
0.1,200,16,4,tanh,relu,0.55925
0.1,200,16,8,tanh,tanh,0.95725
0.1,200,16,8,tanh,relu,0.932
0.1,200,16,16,tanh,tanh,0.9745
0.1,200,16,16,tanh,relu,0.94925
