learning_rate,batch_size,neurons_H1,neurons_H2,neurons_H3,activation_H1,activation_H2,activation_H3,accuracy
0.1,20,4,4,4,tanh,tanh,tanh,0.71225
0.1,20,4,4,4,tanh,tanh,relu,0.71
0.1,20,4,4,8,tanh,tanh,tanh,0.71325
0.1,20,4,4,8,tanh,tanh,relu,0.718
0.1,20,4,4,16,tanh,tanh,tanh,0.7485
0.1,20,4,4,16,tanh,tanh,relu,0.7175
0.1,20,4,8,4,tanh,tanh,tanh,0.661
0.1,20,4,8,4,tanh,tanh,relu,0.66775
0.1,20,4,8,8,tanh,tanh,tanh,0.7625
0.1,20,4,8,8,tanh,tanh,relu,0.8035
0.1,20,4,8,16,tanh,tanh,tanh,0.80625
0.1,20,4,8,16,tanh,tanh,relu,0.80975
0.1,20,4,16,4,tanh,tanh,tanh,0.79725
0.1,20,4,16,4,tanh,tanh,relu,0.82475
0.1,20,4,16,8,tanh,tanh,tanh,0.806
0.1,20,4,16,8,tanh,tanh,relu,0.8575
0.1,20,4,16,16,tanh,tanh,tanh,0.84625
0.1,20,4,16,16,tanh,tanh,relu,0.868
0.1,20,8,4,4,tanh,tanh,tanh,0.749
0.1,20,8,4,4,tanh,tanh,relu,0.70975
0.1,20,8,4,8,tanh,tanh,tanh,0.7845
0.1,20,8,4,8,tanh,tanh,relu,0.8695
0.1,20,8,4,16,tanh,tanh,tanh,0.84025
0.1,20,8,4,16,tanh,tanh,relu,0.75775
0.1,20,8,8,4,tanh,tanh,tanh,0.73975
0.1,20,8,8,4,tanh,tanh,relu,0.89125
0.1,20,8,8,8,tanh,tanh,tanh,0.8525
0.1,20,8,8,8,tanh,tanh,relu,0.89725
0.1,20,8,8,16,tanh,tanh,tanh,0.83475
0.1,20,8,8,16,tanh,tanh,relu,0.88375
0.1,20,8,16,4,tanh,tanh,tanh,0.89275
0.1,20,8,16,4,tanh,tanh,relu,0.94075
0.1,20,8,16,8,tanh,tanh,tanh,0.9165
0.1,20,8,16,8,tanh,tanh,relu,0.934
